+-----+------+------------------+--------------+------------------+-------------------+----------------+
|     |   ID |          Fortune |      Percent |   Cumulative_sum |   Initial_fortune |   Increased_by |
|-----+------+------------------+--------------+------------------+-------------------+----------------|
|   0 |  813 |      2.81054e+07 |  0.0178844   |        0.0178844 |           2400    |  11709.6       |
|   1 |  257 |      2.6004e+07  |  0.0165472   |        0.0344315 |          51711.8  |    501.865     |
|   2 |  454 |      2.588e+07   |  0.0164683   |        0.0508998 |           1516.5  |  17064.6       |
|   3 |  384 |      2.46901e+07 |  0.0157111   |        0.0666109 |          45260.2  |    544.513     |
|   4 |  170 |      2.44895e+07 |  0.0155835   |        0.0821943 |          35337    |    692.028     |
|   5 |  836 |      2.42991e+07 |  0.0154623   |        0.0976566 |           2400    |  10123.6       |
|   6 |  355 |      2.37771e+07 |  0.0151301   |        0.112787  |           2400    |   9906.14      |
|   7 |  139 |      2.35159e+07 |  0.0149639   |        0.127751  |          20791.5  |   1130.03      |
|   8 |  181 |      2.27505e+07 |  0.0144769   |        0.142228  |           4162.5  |   5464.6       |
|   9 |  458 |      2.24711e+07 |  0.0142991   |        0.156527  |           2400    |   9361.95      |
|  10 |  145 |      2.22635e+07 |  0.014167    |        0.170694  |          57053.2  |    389.223     |
|  11 |  192 |      2.20844e+07 |  0.014053    |        0.184747  |          39633.8  |    556.213     |
|  12 |  250 |      2.17618e+07 |  0.0138477   |        0.198594  |          10932.4  |   1989.58      |
|  13 |  587 |      2.17319e+07 |  0.0138287   |        0.212423  |          19858.2  |   1093.36      |
|  14 |  936 |      2.15099e+07 |  0.0136874   |        0.22611   |          31048.5  |    691.785     |
|  15 |  193 |      2.14685e+07 |  0.0136611   |        0.239772  |          13356.5  |   1606.34      |
|  16 |  916 |      2.1414e+07  |  0.0136264   |        0.253398  |          26784    |    798.505     |
|  17 |  105 |      2.13913e+07 |  0.0136119   |        0.26701   |          17213.8  |   1241.68      |
|  18 |  487 |      2.13077e+07 |  0.0135588   |        0.280569  |          15680.5  |   1357.87      |
|  19 |  667 |      2.0225e+07  |  0.0128698   |        0.293438  |          16087.6  |   1256.18      |
|  20 |  750 |      2.012e+07   |  0.012803    |        0.306241  |          24891    |    807.321     |
|  21 |  923 |      2.011e+07   |  0.0127967   |        0.319038  |          24579.1  |    817.176     |
|  22 |  700 |      2.0055e+07  |  0.0127616   |        0.3318    |          34359.8  |    582.677     |
|  23 |  362 |      1.98539e+07 |  0.0126337   |        0.344433  |          24857    |    797.723     |
|  24 |  109 |      1.97255e+07 |  0.012552    |        0.356985  |           9549.4  |   2064.63      |
|  25 |  428 |      1.95249e+07 |  0.0124243   |        0.36941   |           2400    |   8134.38      |
|  26 |   48 |      1.94492e+07 |  0.0123761   |        0.381786  |          16733.2  |   1161.31      |
|  27 |   54 |      1.86301e+07 |  0.0118549   |        0.393641  |          51556.5  |    360.352     |
|  28 |  561 |      1.85298e+07 |  0.0117911   |        0.405432  |           2400    |   7719.73      |
|  29 |   74 |      1.85268e+07 |  0.0117892   |        0.417221  |           2400    |   7718.49      |
|  30 |  201 |      1.85209e+07 |  0.0117854   |        0.429006  |           2400    |   7716.03      |
|  31 |  672 |      1.81806e+07 |  0.0115689   |        0.440575  |          15072.7  |   1205.19      |
|  32 |  989 |      1.81124e+07 |  0.0115255   |        0.452101  |           2295    |   7891.13      |
|  33 |  602 |      1.77528e+07 |  0.0112967   |        0.463397  |          31512.5  |    562.357     |
|  34 |  500 |      1.76328e+07 |  0.0112203   |        0.474618  |          34347.8  |    512.36      |
|  35 |  281 |      1.75381e+07 |  0.01116     |        0.485778  |          59341.5  |    294.545     |
|  36 |  251 |      1.65783e+07 |  0.0105493   |        0.496327  |           2400    |   6906.63      |
|  37 |  683 |      1.64427e+07 |  0.010463    |        0.50679   |          65324.2  |    250.709     |
|  38 |  798 |      3.89128e+06 |  0.00247614  |        0.509266  |          52953    |     72.4855    |
|  39 |  815 |      3.86279e+06 |  0.00245802  |        0.511724  |           2400    |   1608.5       |
|  40 |  542 |      3.83212e+06 |  0.0024385   |        0.514163  |          41379    |     91.6102    |
|  41 |  874 |      3.70402e+06 |  0.00235698  |        0.51652   |           9053    |    408.148     |
|  42 |   52 |      3.53589e+06 |  0.00225     |        0.51877   |          37077.8  |     94.3642    |
|  43 |  783 |      3.38574e+06 |  0.00215445  |        0.520924  |          40137.8  |     83.353     |
|  44 |  513 |      3.12709e+06 |  0.00198987  |        0.522914  |          42775.5  |     72.1048    |
|  45 |  859 |      3.10896e+06 |  0.00197833  |        0.524892  |          -1788.8  |  -1739.01      |
|  46 |    3 |      3.09015e+06 |  0.00196636  |        0.526859  |          75079.5  |     40.1584    |
|  47 |  979 |      3.06334e+06 |  0.0019493   |        0.528808  |           2400    |   1275.39      |
|  48 |  316 |      3.06299e+06 |  0.00194908  |        0.530757  |           2400    |   1275.25      |
|  49 |  721 |      3.01981e+06 |  0.0019216   |        0.532679  |           2286.9  |   1319.48      |
|  50 |   35 |      3.01197e+06 |  0.00191661  |        0.534595  |          13766.2  |    217.794     |
|  51 |  273 |      2.98799e+06 |  0.00190135  |        0.536497  |           2948.4  |   1012.43      |
|  52 |   46 |      2.92847e+06 |  0.00186348  |        0.53836   |           2400    |   1219.2       |
|  53 |  994 |      2.88581e+06 |  0.00183633  |        0.540196  |          43325.2  |     65.6081    |
|  54 |  701 |      2.82461e+06 |  0.00179739  |        0.541994  |          23031.2  |    121.643     |
|  55 |  223 |      2.8166e+06  |  0.00179229  |        0.543786  |           2400    |   1172.58      |
|  56 |  553 |      2.75979e+06 |  0.00175614  |        0.545542  |           2400    |   1148.91      |
|  57 |  734 |      2.74515e+06 |  0.00174683  |        0.547289  |           2908.8  |    942.74      |
|  58 |  754 |      2.70776e+06 |  0.00172303  |        0.549012  |           2400    |   1127.23      |
|  59 |  897 |      2.70634e+06 |  0.00172213  |        0.550734  |           1812.6  |   1492.07      |
|  60 |  826 |      2.69339e+06 |  0.00171389  |        0.552448  |         560556    |      3.80485   |
|  61 |  950 |      2.68581e+06 |  0.00170907  |        0.554157  |           2400    |   1118.09      |
|  62 |  694 |      2.67706e+06 |  0.0017035   |        0.555861  |          23764.8  |    111.648     |
|  63 |  130 |      2.65416e+06 |  0.00168893  |        0.55755   |           2400    |   1104.9       |
|  64 |  765 |      2.64555e+06 |  0.00168345  |        0.559233  |           2400    |   1101.31      |
|  65 |  402 |      2.62166e+06 |  0.00166825  |        0.560901  |          16688.5  |    156.093     |
|  66 |  781 |      2.59202e+06 |  0.00164938  |        0.562551  |           2400    |   1079.01      |
|  67 |  769 |      2.5808e+06  |  0.00164224  |        0.564193  |          19735.8  |    129.767     |
|  68 |  958 |      2.54959e+06 |  0.00162238  |        0.565815  |           2400    |   1061.33      |
|  69 |  300 |      2.53055e+06 |  0.00161027  |        0.567426  |          49510.5  |     50.1114    |
|  70 |  483 |      2.51112e+06 |  0.00159791  |        0.569023  |           9701.55 |    257.837     |
|  71 |  569 |      2.49059e+06 |  0.00158484  |        0.570608  |          34378.5  |     71.4462    |
|  72 |  264 |      2.48413e+06 |  0.00158073  |        0.572189  |          46329.8  |     52.6184    |
|  73 |   96 |      2.47475e+06 |  0.00157476  |        0.573764  |          53691.8  |     45.0917    |
|  74 |  761 |      2.47385e+06 |  0.00157419  |        0.575338  |           2400    |   1029.77      |
|  75 |  895 |      2.47223e+06 |  0.00157316  |        0.576911  |          47602.5  |     50.935     |
|  76 |  945 |      2.46989e+06 |  0.00157167  |        0.578483  |           2400    |   1028.12      |
|  77 |  345 |      2.46422e+06 |  0.00156806  |        0.580051  |          34800    |     69.8109    |
|  78 |   44 |      2.46273e+06 |  0.00156712  |        0.581618  |           8804.8  |    278.704     |
|  79 |  693 |      2.46263e+06 |  0.00156705  |        0.583185  |          59378.2  |     40.4736    |
|  80 |  394 |      2.45894e+06 |  0.0015647   |        0.58475   |           2400    |   1023.56      |
|  81 |  308 |      2.43805e+06 |  0.00155141  |        0.586301  |          37362    |     64.2549    |
|  82 |  436 |      2.41948e+06 |  0.00153959  |        0.587841  |          26008    |     92.0283    |
|  83 |  821 |      2.39618e+06 |  0.00152477  |        0.589366  |          12082.4  |    197.32      |
|  84 |  354 |      2.39602e+06 |  0.00152466  |        0.59089   |          16929.1  |    140.533     |
|  85 |  451 |      2.38915e+06 |  0.00152029  |        0.59241   |          16390.2  |    144.767     |
|  86 |  637 |      2.38795e+06 |  0.00151953  |        0.59393   |          17363.5  |    136.527     |
|  87 |  620 |      2.38562e+06 |  0.00151804  |        0.595448  |           2400    |    993.006     |
|  88 |  559 |      2.38069e+06 |  0.00151491  |        0.596963  |           2400    |    990.956     |
|  89 |  746 |      2.37362e+06 |  0.00151041  |        0.598473  |          34028.6  |     68.7539    |
|  90 |  669 |      2.37306e+06 |  0.00151005  |        0.599983  |          23601.6  |     99.5465    |
|  91 |  862 |      2.36452e+06 |  0.00150462  |        0.601488  |           2400    |    984.216     |
|  92 |  299 |      2.36214e+06 |  0.00150311  |        0.602991  |           1839.6  |   1283.05      |
